Animation,Slider Name,Tab,Slider Family
3D Parallax Gallery,Tilt Angle,Animation,Angle / Tilt
3D Parallax Gallery,Pointer Latency,Animation,Pointer Latency
3D Parallax Gallery,Direction,Animation,Direction
3D Parallax Gallery,Perspective,Animation,Perspective
3D Parallax Gallery,Grid Gap,Layout,Gap / Spacing
3D Parallax Gallery,Border Radius,Layout,Border Radius
Accordion Scroll Horizontal,Panel Speed,Animation,Speed
Accordion Scroll Horizontal,Open Width,Animation,Width / Height
Accordion Scroll Horizontal,Panel Border Radius,Layout,Border Radius
Accordion Scroll Horizontal,Panel Gap,Layout,Gap / Spacing
Accordion Scroll Horizontal,Panel Default Width,Layout,Width / Height
Accordion Scroll Horizontal,Panel Default Height,Layout,Width / Height
Accordion Scroll Vertical,Panel Speed,Animation,Speed
Accordion Scroll Vertical,Open Height,Animation,Width / Height
Accordion Scroll Vertical,Panel Border Radius,Layout,Border Radius
Accordion Scroll Vertical,Panel Gap,Layout,Gap / Spacing
Accordion Scroll Vertical,Panel Default Height,Layout,Width / Height
Accordion Scroll Vertical,Panel Default Width,Layout,Width / Height
Blur Focus Gallery,Blur Intensity,Animation,Visual Effect
Blur Focus Gallery,Grid Gap,Layout,Gap / Spacing
Blur Focus Gallery,Border Radius,Layout,Border Radius
Card Spread,Animation Speed,Animation,Speed
Card Spread,Spread Distance,Animation,Spread
Card Spread,Card Rotation,Animation,Angle / Tilt
Card Spread,Card Border Radius,Layout,Border Radius
Card Spread,Card Width,Layout,Width / Height
Card Spread By Hover,Spread Distance,Animation,Spread
Card Spread By Hover,Card Rotation,Animation,Angle / Tilt
Card Spread By Hover,Card Border Radius,Layout,Border Radius
Card Spread By Hover,Card Width,Layout,Width / Height
Classic Horizontal Scroll,Animation Speed,Animation,Speed
Classic Horizontal Scroll,Panel Width,Layout,Width / Height
Classic Horizontal Scroll,Panel Height,Layout,Width / Height
Classic Horizontal Scroll,Gap,Layout,Gap / Spacing
Classic Horizontal Scroll,Outer Padding,Layout,Gap / Spacing
Corner Fold Scroll,Animation Speed,Animation,Speed
Corner Fold Scroll,Fold Point,Animation,Unique
Corner Fold Scroll,Banner Height,Layout,Width / Height
Cursor Trail,Pop Duration,Animation,Timing
Cursor Trail,Density,Animation,Density / Count
Cursor Trail,Gap / Stagger,Animation,Stagger
Cursor Trail,Image Size,Layout,Size / Scale
Cursor Trail,Border Radius,Layout,Border Radius
