Directory,File,Description,Trigger(s),Animation Sliders (Interact Config),Layout / Composition Sliders
Gallery-and-Carousel,3D_Parallax_Gallery.html,Grid gallery with 3D tilt on pointer move and content reveal on hover,pointerMove; hover,"rotateZ (max Z rotation per card), moveX/moveY (max XY translation), content-reveal opacity (0→1), content-reveal translateY (10px→0), content-reveal duration (300ms), content-reveal easing (ease-out)","grid-template-columns (responsive 2–5 cols), grid gap, grid-auto-rows, card aspect-ratio, card border-radius, card box-shadow, card padding, perspective (on body), card-content text-shadow, font-size (h3/p), numCards (32)"
Gallery-and-Carousel,AccordionScrollHorizontal.html,Horizontal accordion with panels expanding on scroll,viewProgress,"panel width (20vw→60vw), grayscale (1→0), text opacity (0→1), text translateY (20px→0), rangeStart/End % per panel (staggered), text-fade delay, easing (ease-out)","scroll-section height, sticky-wrapper height/top, panel height (80vh), panel border-radius, box-shadow, background-image/size/position, panel-content padding, font-size (h2/p)"
Gallery-and-Carousel,AccordionScrollVertical.html,Vertical accordion with panels expanding on scroll,viewProgress,"panel height (20vh→60vh), grayscale (1→0), text opacity (0→1), text translateY (20px→0), rangeStart/End % per panel (staggered), text-fade delay, easing (ease-out)","scroll-section height, sticky-wrapper height/top, panel width (80vw), panel border-radius, box-shadow, background-image/size/position, panel-content padding, font-size (h2/p)"
Gallery-and-Carousel,BlurFocus_Gallery.html,Grid gallery with blur/scale focus on hover,hover,"scale (1→1.05), filter blur (0→5px), overlay background opacity, text opacity (0→1), translateY (10px→0), z-index (1→10), duration (300ms), easing (ease-out)","grid-template-columns (responsive), grid-auto-rows, gap, card border-radius, box-shadow, card-content font-size (h3/p), text-shadow"
Gallery-and-Carousel,CardSpread.html,Scroll-driven card spread with horizontal/vertical layout,viewProgress,"translateX per card (desktop), translateY per card (mobile), rangeStart/End % (staggered per card), easing (linear)","scroll-section height, card width, card height, border-radius, box-shadow, card padding, gap, sticky top/height"
Gallery-and-Carousel,CardSpreadByHover.html,Card spread on hover interaction,hover,"translateX per card (spread distance), duration, easing","card width, card height, border-radius, box-shadow, gap, stack-container width"
Gallery-and-Carousel,CasperGallery.html,Diagonal mouse-track image movement,pointerMove; customEffect,"rotateZ (max rotation), moveX/moveY (max translation), scale, opacity, smoothing factor","grid-template-columns, gap, image-size, perspective, card border-radius"
Gallery-and-Carousel,ClassicHorizontalScroll.html,Scroll-driven horizontal panels,viewProgress,"translateX (0→-300vw), clipPath (polygon reveal), translateY (panel slide), rangeStart/End % (cover), easing","scroll-section height (500vh), panel width, panel height, panel padding, title font-size"
Gallery-and-Carousel,CornerFoldScrollAnimation.html,Scroll-driven corner fold with clipPath reveal,viewProgress,"clipPath inset (100%→0%), translateY (100vh→0), rangeStart/End % per panel (staggered), easing","scroll-section height, panel z-index order, panel width/height, border-radius, sticky-wrapper overflow"
Gallery-and-Carousel,Cornergallery01.html,Living collage with click/scroll image reveal,pageVisible; click; customEffect,"scale (0→1 fragment), duration, easing, throttleTime, autoAdvanceTimer, Ken Burns translate/scale, Ken Burns animation-duration","fragment width/height, padding, font-size (text overlay), collage-container cursor"
Gallery-and-Carousel,CursorTrail.html,Cursor-following image pop-up effect,pageVisible; custom JS,"opacity (helper text fade), popAndFade animation, triggerDistance (mouse threshold), baseSize, randomFactor","max-width/max-height (images), helper-text font-size"
Gallery-and-Carousel,DiagonalShuffle.html,Scroll-driven diagonal card fly-in,viewProgress,"translateX/translateY (initial→final), rotate (initial→final), scale (initial→final), opacity (0→1), rangeStart/End % per card (staggered), easing (ease-out)","scroll-section height, card width, aspect-ratio, border-radius, box-shadow, card padding, font-size (title/description)"
Gallery-and-Carousel,DigitalJukebox.html,Scroll-driven 3D totem rotation with info panel,viewProgress; customEffect,"perspective, rotateX (±90deg→0→±90deg), translateZ (-200px→0→-200px), opacity (0→1→0), easing (linear), closestIndex calculation in customEffect","scroll-container height, list-item width/height/max-width/margin-bottom, border-radius, box-shadow, info-panel padding, font-size (h2/p), itemsData.length"
Gallery-and-Carousel,DolphinAnimation.html,Cursor-following particle burst animation,pageVisible; customEffect (rAF loop),"PARTICLE_LIFESPAN, BASE_PARTICLE_WIDTH, SIZE_VARIATION, PARTICLE_SPACING, HOP_HEIGHT, HOP_WIDTH, easeOutCubic easing","info-text font-size/color, particle transform-origin, particle-image box-shadow, IMAGE_SOURCES array"
Gallery-and-Carousel,EndlessParallax.html,2D parallax floating gallery with modal lightbox,click; animationEnd,"modal opacity (0→1 fade), modal-content scale (0.8→1 pop), gallery blur (0→10px), modal-hide opacity (1→0), duration, easing per effect","NUM_TILES, BASE_IMAGE_SCALE, tile border-radius/box-shadow, tile-title padding/font-size, modal max-width/max-height, modal-text font-size (h1/p), worldSize"
Gallery-and-Carousel,ExpandingHorizontalScroll.html,Scroll-driven story panels with image scale,viewEnter; viewProgress; customEffect,"title letter opacity (0→1), title translateY (-20px→0), title stagger delay, panel left (60vw→0vw), image translateX/scale, text opacity/content swap, rangeStart/End % per panel, easing","scroll-section height, box padding-bottom/font-size/color, panel-image width/aspect-ratio/bottom/transform-origin, title top/left/font-size, paragraph top/left/font-size/max-width"
Gallery-and-Carousel,ExpandingCardsGallery.html,Responsive expanding cards (mobile=vertical/desktop=horizontal),hover,"v-expand maxHeight (25vh→75vh mobile), h-expand width (220px→600px desktop), reveal opacity (0→1), reveal translateY (20px→0), duration, delay (text reveal), easing","conditions (mobile ≤768px / desktop ≥769px), feature-container gap/padding, column border-radius/box-shadow, text-group text-shadow, subtitle/title font-size"
Gallery-and-Carousel,ExpandingVerticalGallery.html,Vertical expanding gallery with accordion behavior,hover; click (mobile); toggleEffect,"maxHeight (initial→expanded), marginBottom (negative compensation), z-index, text opacity (0→1), text translateY (20px→0), duration, delay, easing","initialHeight (mobile/desktop), expandedHeight (mobile/desktop), feature-container gap/padding, column border-radius/box-shadow, text font-size, isMobile breakpoint"
Gallery-and-Carousel,FadeInGallery.html,Living collage with viewEnter scale-in and hover text fade,viewEnter; hover,"fragment-scale-in: scale (0→1), text-fade: FadeIn namedEffect, duration, easing, intervalTime (auto-advance)","collage-container cursor, fragment background-color, text-overlay padding/bottom/left/font-size (h1/p)/text-shadow, hover-hotspot height"
Gallery-and-Carousel,FerrisWheel.html,Continuous Ferris wheel rotation of image tiles,pageVisible,"ring-rotation: rotate (0→360deg), tile-counter-rotation: rotate (0→-360deg), duration (25000ms), iterations (Infinity), easing (linear)","tile-ring width/height/transform-origin, tile width/height/border-radius/box-shadow/left/top/z-index, title font-size, sub-title font-size"
Gallery-and-Carousel,GridGallery3D.html,Interactive 3D grid with pointer-driven tilt and hover reveal,hover; pointerMove; customEffect,"content-reveal opacity (0→1), content-reveal translateY, duration/easing, rotateZ per card (mouse-driven), moveX/moveY per card (mouse-driven), maxRotateZ, maxMove","grid gap, grid-template-columns (responsive), grid-auto-rows, card aspect-ratio/border-radius/box-shadow/padding, card-content text-shadow/line-height, numCards, columns, perspective"
Gallery-and-Carousel,HorizontalAndVerticalScroll.html,Cards slide up then scroll horizontally then slide out,viewProgress,"translateX (0vw→horizontalScrollEnd responsive), translateY per card (80vh→0vh), rangeStart/End % per card (staggered), easing (linear)","scroll-section height, sticky top/height, stack gap (responsive), card height/width (responsive 80vw or 33.3vw), card border-radius/border/box-shadow, card-content padding/font-size (h2/p)"
Gallery-and-Carousel,HorizontalCarouselPerspective.html,Responsive 3D card deck with scroll-driven rotation,viewProgress; customEffect,"translateX/Y (desktop/mobile), translateZ, rotateY/rotateX, opacity per card (staggered), rangeStart/End per card, dynamic title opacity/innerHTML swap, easing (linear)","scroll-section height, animation-viewport perspective, card width/height/max-width/border-radius/background/box-shadow, title-container padding/color, title font-size (h2/p), isMobile breakpoint"
Gallery-and-Carousel,HorizontalLanes.html,Multi-row horizontal parallax infinite loop with lightbox,viewEnter,"translateX (-50%→0 or 0→-50%) per row, duration per row (40s–55s), iterations (Infinity), easing (linear)","gallery-container flex-direction, gallery-row flex/overflow, wrapper height/width, image-container height/padding, image border-radius, image-title font-size, lightbox max-width/max-height, close-btn font-size"
Gallery-and-Carousel,HorizontallyScrollingGallery.html,Multi-row horizontal parallax infinite loop with lightbox,viewEnter,"translateX (-50%→0 or 0→-50%) per row, duration per row (40s–55s), iterations (Infinity), easing (linear)","gallery-container flex-direction, gallery-row flex/overflow, wrapper height/width, image-container height/padding, image border-radius, image-title font-size, lightbox max-width/max-height, close-btn font-size"
Gallery-and-Carousel,HorizontalMarquee.html,Endless marquee with card hover straighten and pause,pageVisible; hover,"marquee translateX (0→-270rem), marquee duration (60s), marquee easing (linear), marquee iterations (Infinity), card rotateY (25deg→0deg), card scale (1→1.05), card z-index (1→10), card duration (300ms), card easing (cubic-bezier), animationPlayState→paused","carousel gap/width (540rem), card width (16rem)/padding/border-radius/box-shadow, img width/height/object-fit/border-radius, h3/p font-size, perspective-container perspective (1000px)"
Gallery-and-Carousel,ImageBreathingGallery.html,Breathing vertical animation with hover scale-up,viewEnter; hover,"breathe-vertical translateY (-62px→262px), breathe duration (2s), breathe easing (ease-in-out), breathe iterations (Infinity), breathe alternate, stagger delay (index×150), scale-up scale (1→2.5), scale-up duration (300ms), scale-up easing (ease-out), composite: add","gallery-wrapper perspective (1000px), item width (12vw), z-index (default/hover), img border-radius/box-shadow, tooltip font-size (h3/p), imageData.length (26)"
