Animation,Folder,Interaction,Total,Anim,Layout,"Coverage
(how many of the 16 families this animation covers)",number of individual sliders,Border Radius,Speed,Spacing,Dimensions,Size / Scale,Typography,Angle / Tilt,Perspective,Direction,Density / Count,Pointer Latency,Visual Effect,Stagger / Timing,Unique,Spread Distance,Hover Effect
3D Parallax Gallery,Gallery-and-Carousel,Hover + Pointer,6,4,2,6 / 16  (38%),6,Border Radius,✗,Grid Gap,✗,✗,✗,Tilt Angle,Perspective,Direction,✗,Pointer Latency,✗,✗,✗,✗,✗
Accordion Scroll Horizontal,Gallery-and-Carousel,Hover,6,2,4,4 / 16  (25%),6,Panel Border Radius,Panel Speed,Panel Gap,"Open Width
Panel Default Width
Panel Default Height",✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Accordion Scroll Vertical,Gallery-and-Carousel,Hover,6,2,4,4 / 16  (25%),6,Panel Border Radius,Panel Speed,Panel Gap,"Open Height
Panel Default Height
Panel Default Width",✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Blur Focus Gallery,Gallery-and-Carousel,Hover,3,1,2,3 / 16  (19%),3,Border Radius,✗,Grid Gap,✗,✗,✗,✗,✗,✗,✗,✗,Blur Intensity,✗,✗,✗,✗
Card Spread,Gallery-and-Carousel,Scroll,5,3,2,5 / 16  (31%),5,Card Border Radius,Animation Speed,✗,Card Width,✗,✗,Card Rotation,✗,✗,✗,✗,✗,✗,✗,Spread Distance,✗
Card Spread By Hover,Gallery-and-Carousel,Hover,4,2,2,4 / 16  (25%),4,Card Border Radius,✗,✗,Card Width,✗,✗,Card Rotation,✗,✗,✗,✗,✗,✗,✗,Spread Distance,✗
Classic Horizontal Scroll,Gallery-and-Carousel,Scroll,5,1,4,3 / 16  (19%),5,✗,Animation Speed,"Gap
Outer Padding","Panel Width
Panel Height",✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Corner Fold Scroll,Gallery-and-Carousel,Scroll,3,2,1,3 / 16  (19%),3,✗,Animation Speed,✗,Banner Height,✗,✗,✗,✗,✗,✗,✗,✗,✗,Fold Point,✗,✗
Cursor Trail,Gallery-and-Carousel,Pointer,5,3,2,4 / 16  (25%),5,Border Radius,✗,✗,✗,Image Size,✗,✗,✗,✗,Density,✗,✗,"Pop Duration
Gap / Stagger",✗,✗,✗
Diagonal Shuffle,Gallery-and-Carousel,Scroll,4,1,3,4 / 16  (25%),4,Card Border Radius,Animation Speed,✗,Card Max Width,✗,✗,Angle,✗,✗,✗,✗,✗,✗,✗,✗,✗
Digital Jukebox,Gallery-and-Carousel,Scroll,5,0,5,4 / 16  (25%),5,Item Border Radius,✗,Item Spacing,"Item Width
Item Height",✗,✗,✗,Perspective,✗,✗,✗,✗,✗,✗,✗,✗
Dolphin Animation,Gallery-and-Carousel,Pointer,5,3,2,4 / 16  (25%),5,Border Radius,✗,✗,✗,Image Size,✗,✗,✗,✗,Density,✗,✗,"Pop Duration
Gap / Stagger",✗,✗,✗
Endless Parallax,Gallery-and-Carousel,Pointer + Auto-play,4,1,3,4 / 16  (25%),4,Tile Border Radius,Animation Speed,✗,✗,Image Size,✗,✗,✗,✗,Image Density,✗,✗,✗,✗,✗,✗
Expanding Horizontal Scroll,Gallery-and-Carousel,Scroll,3,2,1,3 / 16  (19%),3,✗,Animation Speed,✗,Panel Image Width,Zoom Level,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
