directory,file,name,description,triggers,pattern_category,animation_params,layout_params,slider_tab,slider_label,slider_type,target,css_property,min,max,step,default,unit
Gallery-and-Carousel,3D_Parallax_Gallery.html,3D Parallax Gallery,Grid gallery with 3D tilt on pointer move and content reveal on hover,"pointerMove; hover",pointer-tilt,"rotateZ (max Z rotation per card), moveX/moveY (max XY translation), content-reveal opacity (0→1), content-reveal translateY (10px→0), duration (300ms), easing (ease-out)","grid-template-columns (responsive 2–5 cols), grid gap, grid-auto-rows, card aspect-ratio, card border-radius, card box-shadow, card padding, perspective (on body), font-size (h3/p), numCards (32)",animation,Tilt Angle,cssVar,--max-rotate,,5,90,1,40,°
Gallery-and-Carousel,3D_Parallax_Gallery.html,3D Parallax Gallery,Grid gallery with 3D tilt on pointer move and content reveal on hover,"pointerMove; hover",pointer-tilt,"rotateZ (max Z rotation per card), moveX/moveY (max XY translation), content-reveal opacity (0→1), content-reveal translateY (10px→0), duration (300ms), easing (ease-out)","grid-template-columns (responsive 2–5 cols), grid gap, grid-auto-rows, card aspect-ratio, card border-radius, card box-shadow, card padding, perspective (on body), font-size (h3/p), numCards (32)",animation,Pointer Latency,cssVar,--pointer-latency,,0,1000,50,0,ms
Gallery-and-Carousel,3D_Parallax_Gallery.html,3D Parallax Gallery,Grid gallery with 3D tilt on pointer move and content reveal on hover,"pointerMove; hover",pointer-tilt,"rotateZ (max Z rotation per card), moveX/moveY (max XY translation), content-reveal opacity (0→1), content-reveal translateY (10px→0), duration (300ms), easing (ease-out)","grid-template-columns (responsive 2–5 cols), grid gap, grid-auto-rows, card aspect-ratio, card border-radius, card box-shadow, card padding, perspective (on body), font-size (h3/p), numCards (32)",animation,Direction,cssVar,--pointer-direction,,-1,1,2,-1,
Gallery-and-Carousel,3D_Parallax_Gallery.html,3D Parallax Gallery,Grid gallery with 3D tilt on pointer move and content reveal on hover,"pointerMove; hover",pointer-tilt,"rotateZ (max Z rotation per card), moveX/moveY (max XY translation), content-reveal opacity (0→1), content-reveal translateY (10px→0), duration (300ms), easing (ease-out)","grid-template-columns (responsive 2–5 cols), grid gap, grid-auto-rows, card aspect-ratio, card border-radius, card box-shadow, card padding, perspective (on body), font-size (h3/p), numCards (32)",animation,Perspective,css,.grid-container,perspective,200,3000,50,2000,px
Gallery-and-Carousel,3D_Parallax_Gallery.html,3D Parallax Gallery,Grid gallery with 3D tilt on pointer move and content reveal on hover,"pointerMove; hover",pointer-tilt,"rotateZ (max Z rotation per card), moveX/moveY (max XY translation), content-reveal opacity (0→1), content-reveal translateY (10px→0), duration (300ms), easing (ease-out)","grid-template-columns (responsive 2–5 cols), grid gap, grid-auto-rows, card aspect-ratio, card border-radius, card box-shadow, card padding, perspective (on body), font-size (h3/p), numCards (32)",layout,Grid Gap,css,.grid-container,gap,0,60,2,20,px
Gallery-and-Carousel,3D_Parallax_Gallery.html,3D Parallax Gallery,Grid gallery with 3D tilt on pointer move and content reveal on hover,"pointerMove; hover",pointer-tilt,"rotateZ (max Z rotation per card), moveX/moveY (max XY translation), content-reveal opacity (0→1), content-reveal translateY (10px→0), duration (300ms), easing (ease-out)","grid-template-columns (responsive 2–5 cols), grid gap, grid-auto-rows, card aspect-ratio, card border-radius, card box-shadow, card padding, perspective (on body), font-size (h3/p), numCards (32)",layout,Border Radius,css,.card-inner,borderRadius,0,100,1,20,px
Gallery-and-Carousel,AccordionScrollHorizontal.html,Accordion Scroll Horizontal,Horizontal accordion with panels expanding on hover,hover,hover-accordion,"panel width (220px→600px via h-expand), text opacity (0→1), text translateY (20px→0), duration (600ms), easing (cubic-bezier)","feature-column width/border-radius/box-shadow, feature-container gap/padding, feature-image object-fit, feature-text-group position/font-size",animation,Panel Speed,cssVar,--panel-speed,,0.2,3,0.1,1,×
Gallery-and-Carousel,AccordionScrollHorizontal.html,Accordion Scroll Horizontal,Horizontal accordion with panels expanding on hover,hover,hover-accordion,"panel width (220px→600px via h-expand), text opacity (0→1), text translateY (20px→0), duration (600ms), easing (cubic-bezier)","feature-column width/border-radius/box-shadow, feature-container gap/padding, feature-image object-fit, feature-text-group position/font-size",animation,Open Width,cssVar,--panel-open-width,,300,1200,10,600,px
Gallery-and-Carousel,AccordionScrollHorizontal.html,Accordion Scroll Horizontal,Horizontal accordion with panels expanding on hover,hover,hover-accordion,"panel width (220px→600px via h-expand), text opacity (0→1), text translateY (20px→0), duration (600ms), easing (cubic-bezier)","feature-column width/border-radius/box-shadow, feature-container gap/padding, feature-image object-fit, feature-text-group position/font-size",layout,Panel Border Radius,css,.feature-column,borderRadius,0,60,1,24,px
Gallery-and-Carousel,AccordionScrollHorizontal.html,Accordion Scroll Horizontal,Horizontal accordion with panels expanding on hover,hover,hover-accordion,"panel width (220px→600px via h-expand), text opacity (0→1), text translateY (20px→0), duration (600ms), easing (cubic-bezier)","feature-column width/border-radius/box-shadow, feature-container gap/padding, feature-image object-fit, feature-text-group position/font-size",layout,Panel Gap,css,.feature-container,gap,0,60,2,16,px
Gallery-and-Carousel,AccordionScrollHorizontal.html,Accordion Scroll Horizontal,Horizontal accordion with panels expanding on hover,hover,hover-accordion,"panel width (220px→600px via h-expand), text opacity (0→1), text translateY (20px→0), duration (600ms), easing (cubic-bezier)","feature-column width/border-radius/box-shadow, feature-container gap/padding, feature-image object-fit, feature-text-group position/font-size",layout,Panel Default Width,cssVar,--panel-default-width,,80,400,10,220,px
Gallery-and-Carousel,AccordionScrollHorizontal.html,Accordion Scroll Horizontal,Horizontal accordion with panels expanding on hover,hover,hover-accordion,"panel width (220px→600px via h-expand), text opacity (0→1), text translateY (20px→0), duration (600ms), easing (cubic-bezier)","feature-column width/border-radius/box-shadow, feature-container gap/padding, feature-image object-fit, feature-text-group position/font-size",layout,Panel Default Height,css,.feature-container,height,30,100,1,80,vh
Gallery-and-Carousel,AccordionScrollVertical.html,Accordion Scroll Vertical,Vertical accordion with panels expanding on hover,hover,hover-accordion,"panel maxHeight (20vh→50vh via expand-column), marginBottom compensation, text opacity (0→1), text translateY (20px→0), duration (500ms), easing (cubic-bezier)","feature-column max-height/border-radius/box-shadow, feature-container gap, feature-image object-fit, feature-text-group position/font-size",animation,Panel Speed,cssVar,--panel-speed,,0.2,3,0.1,1,×
Gallery-and-Carousel,AccordionScrollVertical.html,Accordion Scroll Vertical,Vertical accordion with panels expanding on hover,hover,hover-accordion,"panel maxHeight (20vh→50vh via expand-column), marginBottom compensation, text opacity (0→1), text translateY (20px→0), duration (500ms), easing (cubic-bezier)","feature-column max-height/border-radius/box-shadow, feature-container gap, feature-image object-fit, feature-text-group position/font-size",animation,Open Height,cssVar,--panel-open-height,,30,80,1,50,vh
Gallery-and-Carousel,AccordionScrollVertical.html,Accordion Scroll Vertical,Vertical accordion with panels expanding on hover,hover,hover-accordion,"panel maxHeight (20vh→50vh via expand-column), marginBottom compensation, text opacity (0→1), text translateY (20px→0), duration (500ms), easing (cubic-bezier)","feature-column max-height/border-radius/box-shadow, feature-container gap, feature-image object-fit, feature-text-group position/font-size",layout,Panel Border Radius,css,.feature-column,borderRadius,0,60,1,16,px
Gallery-and-Carousel,AccordionScrollVertical.html,Accordion Scroll Vertical,Vertical accordion with panels expanding on hover,hover,hover-accordion,"panel maxHeight (20vh→50vh via expand-column), marginBottom compensation, text opacity (0→1), text translateY (20px→0), duration (500ms), easing (cubic-bezier)","feature-column max-height/border-radius/box-shadow, feature-container gap, feature-image object-fit, feature-text-group position/font-size",layout,Panel Gap,cssVar,--panel-gap,,0,60,2,24,px
Gallery-and-Carousel,AccordionScrollVertical.html,Accordion Scroll Vertical,Vertical accordion with panels expanding on hover,hover,hover-accordion,"panel maxHeight (20vh→50vh via expand-column), marginBottom compensation, text opacity (0→1), text translateY (20px→0), duration (500ms), easing (cubic-bezier)","feature-column max-height/border-radius/box-shadow, feature-container gap, feature-image object-fit, feature-text-group position/font-size",layout,Panel Default Height,cssVar,--panel-default-height,,10,40,1,20,vh
Gallery-and-Carousel,AccordionScrollVertical.html,Accordion Scroll Vertical,Vertical accordion with panels expanding on hover,hover,hover-accordion,"panel maxHeight (20vh→50vh via expand-column), marginBottom compensation, text opacity (0→1), text translateY (20px→0), duration (500ms), easing (cubic-bezier)","feature-column max-height/border-radius/box-shadow, feature-container gap, feature-image object-fit, feature-text-group position/font-size",layout,Panel Default Width,css,.feature-container,width,20,100,1,100,%
Gallery-and-Carousel,BlurFocus_Gallery.html,Blur Focus Gallery,Grid gallery with blur/scale focus on hover,hover,hover-gallery,"scale (1→1.05), filter blur (0→5px), overlay background opacity, text opacity (0→1), translateY (10px→0), z-index (1→10), duration (300ms), easing (ease-out)","grid-template-columns (responsive), grid-auto-rows, gap, card border-radius, box-shadow, card-content font-size, text-shadow",animation,Blur Intensity,cssVar,--blur-intensity,,0,30,1,12,px
Gallery-and-Carousel,BlurFocus_Gallery.html,Blur Focus Gallery,Grid gallery with blur/scale focus on hover,hover,hover-gallery,"scale (1→1.05), filter blur (0→5px), overlay background opacity, text opacity (0→1), translateY (10px→0), z-index (1→10), duration (300ms), easing (ease-out)","grid-template-columns (responsive), grid-auto-rows, gap, card border-radius, box-shadow, card-content font-size, text-shadow",layout,Grid Gap,css,.grid-container,gap,0,80,2,40,px
Gallery-and-Carousel,BlurFocus_Gallery.html,Blur Focus Gallery,Grid gallery with blur/scale focus on hover,hover,hover-gallery,"scale (1→1.05), filter blur (0→5px), overlay background opacity, text opacity (0→1), translateY (10px→0), z-index (1→10), duration (300ms), easing (ease-out)","grid-template-columns (responsive), grid-auto-rows, gap, card border-radius, box-shadow, card-content font-size, text-shadow",layout,Border Radius,css,".card-inner, wix-interact-element, .card-overlay",borderRadius,0,100,1,2,px
Gallery-and-Carousel,CardSpread.html,Card Spread,Scroll-driven card spread with horizontal/vertical layout,viewProgress,scroll-card-stack,"translateX per card (desktop), translateY per card (mobile), rangeStart/End % (staggered), easing (linear)","scroll-section height, card width/height, border-radius, box-shadow, card padding, gap, sticky top/height",animation,Animation Speed,speed,,,0.1,2,0.1,1,×
Gallery-and-Carousel,CardSpread.html,Card Spread,Scroll-driven card spread with horizontal/vertical layout,viewProgress,scroll-card-stack,"translateX per card (desktop), translateY per card (mobile), rangeStart/End % (staggered), easing (linear)","scroll-section height, card width/height, border-radius, box-shadow, card padding, gap, sticky top/height",animation,Spread Distance,cssSpread,,,5,20,1,20,vw
Gallery-and-Carousel,CardSpread.html,Card Spread,Scroll-driven card spread with horizontal/vertical layout,viewProgress,scroll-card-stack,"translateX per card (desktop), translateY per card (mobile), rangeStart/End % (staggered), easing (linear)","scroll-section height, card width/height, border-radius, box-shadow, card padding, gap, sticky top/height",animation,Card Rotation,cssFan,"#card-1; #card-2; #card-3; #card-4; #card-5",rotate,0,30,1,0,deg
Gallery-and-Carousel,CardSpread.html,Card Spread,Scroll-driven card spread with horizontal/vertical layout,viewProgress,scroll-card-stack,"translateX per card (desktop), translateY per card (mobile), rangeStart/End % (staggered), easing (linear)","scroll-section height, card width/height, border-radius, box-shadow, card padding, gap, sticky top/height",layout,Card Border Radius,css,.card,borderRadius,0,100,1,16,px
Gallery-and-Carousel,CardSpread.html,Card Spread,Scroll-driven card spread with horizontal/vertical layout,viewProgress,scroll-card-stack,"translateX per card (desktop), translateY per card (mobile), rangeStart/End % (staggered), easing (linear)","scroll-section height, card width/height, border-radius, box-shadow, card padding, gap, sticky top/height",layout,Card Width,css,".card, #cards-collection",width,12,40,0.5,20,vw
Gallery-and-Carousel,CardSpreadByHover.html,Card Spread By Hover,Card spread on hover interaction,hover,hover-card-spread,"translateX per card (spread distance), duration, easing","card width/height, border-radius, box-shadow, gap, stack-container width",animation,Spread Distance,cssSpread,,,5,25,1,25,vw
Gallery-and-Carousel,CardSpreadByHover.html,Card Spread By Hover,Card spread on hover interaction,hover,hover-card-spread,"translateX per card (spread distance), duration, easing","card width/height, border-radius, box-shadow, gap, stack-container width",animation,Card Rotation,cssFan,"#card-1; #card-2; #card-3; #card-4; #card-5",rotate,0,30,1,0,deg
Gallery-and-Carousel,CardSpreadByHover.html,Card Spread By Hover,Card spread on hover interaction,hover,hover-card-spread,"translateX per card (spread distance), duration, easing","card width/height, border-radius, box-shadow, gap, stack-container width",layout,Card Border Radius,css,.card,borderRadius,0,100,1,16,px
Gallery-and-Carousel,CardSpreadByHover.html,Card Spread By Hover,Card spread on hover interaction,hover,hover-card-spread,"translateX per card (spread distance), duration, easing","card width/height, border-radius, box-shadow, gap, stack-container width",layout,Card Width,css,".card, #cards-collection",width,12,40,0.5,25,vw
Gallery-and-Carousel,ClassicHorizontalScroll.html,Classic Horizontal Scroll,Scroll-driven horizontal panels,viewProgress,scroll-storytelling,"translateX (0→-300vw), clipPath (polygon reveal), translateY (panel slide), rangeStart/End % (cover)","scroll-section height (500vh), panel width/height, panel padding, title font-size",animation,Animation Speed,speed,,,0.1,3,0.1,1,×
Gallery-and-Carousel,ClassicHorizontalScroll.html,Classic Horizontal Scroll,Scroll-driven horizontal panels,viewProgress,scroll-storytelling,"translateX (0→-300vw), clipPath (polygon reveal), translateY (panel slide), rangeStart/End % (cover)","scroll-section height (500vh), panel width/height, panel padding, title font-size",layout,Panel Width,cssVar,--panel-w,,30,150,5,100,vw
Gallery-and-Carousel,ClassicHorizontalScroll.html,Classic Horizontal Scroll,Scroll-driven horizontal panels,viewProgress,scroll-storytelling,"translateX (0→-300vw), clipPath (polygon reveal), translateY (panel slide), rangeStart/End % (cover)","scroll-section height (500vh), panel width/height, panel padding, title font-size",layout,Panel Height,cssVar,--panel-h,,50,100,5,100,vh
Gallery-and-Carousel,ClassicHorizontalScroll.html,Classic Horizontal Scroll,Scroll-driven horizontal panels,viewProgress,scroll-storytelling,"translateX (0→-300vw), clipPath (polygon reveal), translateY (panel slide), rangeStart/End % (cover)","scroll-section height (500vh), panel width/height, panel padding, title font-size",layout,Gap,cssVar,--panel-gap,,0,80,2,0,px
Gallery-and-Carousel,ClassicHorizontalScroll.html,Classic Horizontal Scroll,Scroll-driven horizontal panels,viewProgress,scroll-storytelling,"translateX (0→-300vw), clipPath (polygon reveal), translateY (panel slide), rangeStart/End % (cover)","scroll-section height (500vh), panel width/height, panel padding, title font-size",layout,Outer Padding,cssVar,--outer-pad,,0,100,2,0,px
Gallery-and-Carousel,CornerFoldScrollAnimation.html,Corner Fold Scroll,Scroll-driven corner fold with clipPath reveal,viewProgress,scroll-shape-morph,"clipPath inset (100%→0%), translateY (100vh→0), rangeStart/End % per panel (staggered), fold split point","banner (animated-title) height, image-container height",animation,Animation Speed,speed,,,0.1,2,0.1,1,×
Gallery-and-Carousel,CornerFoldScrollAnimation.html,Corner Fold Scroll,Scroll-driven corner fold with clipPath reveal,viewProgress,scroll-shape-morph,"clipPath inset (100%→0%), translateY (100vh→0), rangeStart/End % per panel (staggered), fold split point","banner (animated-title) height, image-container height",animation,Fold Point,foldSplit,,,50,85,5,50,%
Gallery-and-Carousel,CornerFoldScrollAnimation.html,Corner Fold Scroll,Scroll-driven corner fold with clipPath reveal,viewProgress,scroll-shape-morph,"clipPath inset (100%→0%), translateY (100vh→0), rangeStart/End % per panel (staggered), fold split point","banner (animated-title) height, image-container height",layout,Banner Height,css,.animated-title,height,20,100,2,40,px
Gallery-and-Carousel,CursorTrail.html,Cursor Trail,Cursor-following image pop-up effect,"pageVisible; custom",pointer-trail,"opacity (helper text fade), popAndFade animation, triggerDistance, baseSize, randomFactor","max-width/max-height (images), helper-text font-size",animation,Pop Duration,css,.popup-wrapper,animationDuration,0.3,1.5,0.05,0.55,s
Gallery-and-Carousel,CursorTrail.html,Cursor Trail,Cursor-following image pop-up effect,"pageVisible; custom",pointer-trail,"opacity (helper text fade), popAndFade animation, triggerDistance, baseSize, randomFactor","max-width/max-height (images), helper-text font-size",animation,Density,cssVar,--spawn-count,,1,15,1,1,
Gallery-and-Carousel,CursorTrail.html,Cursor Trail,Cursor-following image pop-up effect,"pageVisible; custom",pointer-trail,"opacity (helper text fade), popAndFade animation, triggerDistance, baseSize, randomFactor","max-width/max-height (images), helper-text font-size",animation,Gap / Stagger,cssVar,--trigger-distance,,15,200,5,85,
Gallery-and-Carousel,CursorTrail.html,Cursor Trail,Cursor-following image pop-up effect,"pageVisible; custom",pointer-trail,"opacity (helper text fade), popAndFade animation, triggerDistance, baseSize, randomFactor","max-width/max-height (images), helper-text font-size",layout,Image Size,cssVar,--base-size,,80,500,10,210,
Gallery-and-Carousel,CursorTrail.html,Cursor Trail,Cursor-following image pop-up effect,"pageVisible; custom",pointer-trail,"opacity (helper text fade), popAndFade animation, triggerDistance, baseSize, randomFactor","max-width/max-height (images), helper-text font-size",layout,Border Radius,cssVar,--border-radius,,0,50,1,0,
Gallery-and-Carousel,DiagonalShuffle.html,Diagonal Shuffle,Scroll-driven diagonal card fly-in,viewProgress,scroll-card-stack,"translateX/Y (initial→final), rotate, scale, opacity (0→1), rangeStart/End % per card, easing (ease-out)","scroll-section height, card width, aspect-ratio, border-radius, box-shadow, font-size",animation,Animation Speed,speed,,,0.1,2,0.1,1,×
Gallery-and-Carousel,DiagonalShuffle.html,Diagonal Shuffle,Scroll-driven diagonal card fly-in,viewProgress,scroll-card-stack,"translateX/Y (initial→final), rotate, scale, opacity (0→1), rangeStart/End % per card, easing (ease-out)","scroll-section height, card width, aspect-ratio, border-radius, box-shadow, font-size",layout,Angle,diagAngle,,,0,90,1,45,°
Gallery-and-Carousel,DiagonalShuffle.html,Diagonal Shuffle,Scroll-driven diagonal card fly-in,viewProgress,scroll-card-stack,"translateX/Y (initial→final), rotate, scale, opacity (0→1), rangeStart/End % per card, easing (ease-out)","scroll-section height, card width, aspect-ratio, border-radius, box-shadow, font-size",layout,Card Border Radius,css,.card,borderRadius,0,32,1,16,px
Gallery-and-Carousel,DiagonalShuffle.html,Diagonal Shuffle,Scroll-driven diagonal card fly-in,viewProgress,scroll-card-stack,"translateX/Y (initial→final), rotate, scale, opacity (0→1), rangeStart/End % per card, easing (ease-out)","scroll-section height, card width, aspect-ratio, border-radius, box-shadow, font-size",layout,Card Max Width,css,.card,maxWidth,200,1200,20,400,px
Gallery-and-Carousel,DigitalJukebox.html,Digital Jukebox,Scroll-driven 3D totem rotation with info panel,"viewProgress; customEffect",scroll-3d,"perspective(500px), rotateX (±25deg→0→∓25deg), translateZ (-350px→0→-350px), opacity (0.2→1→0.2), easing (linear)","list-item width/height/border-radius/margin (CSS vars), item-list padding (calc), scroll-view perspective, box-shadow",layout,Perspective,jukeboxPerspective,,,100,2000,25,500,px
Gallery-and-Carousel,DigitalJukebox.html,Digital Jukebox,Scroll-driven 3D totem rotation with info panel,"viewProgress; customEffect",scroll-3d,"perspective(500px), rotateX (±25deg→0→∓25deg), translateZ (-350px→0→-350px), opacity (0.2→1→0.2), easing (linear)","list-item width/height/border-radius/margin (CSS vars), item-list padding (calc), scroll-view perspective, box-shadow",layout,Item Border Radius,cssVar,--item-radius,,0,60,1,12,px
Gallery-and-Carousel,DigitalJukebox.html,Digital Jukebox,Scroll-driven 3D totem rotation with info panel,"viewProgress; customEffect",scroll-3d,"perspective(500px), rotateX (±25deg→0→∓25deg), translateZ (-350px→0→-350px), opacity (0.2→1→0.2), easing (linear)","list-item width/height/border-radius/margin (CSS vars), item-list padding (calc), scroll-view perspective, box-shadow",layout,Item Width,cssVar,--item-width,,300,1200,20,800,px
Gallery-and-Carousel,DigitalJukebox.html,Digital Jukebox,Scroll-driven 3D totem rotation with info panel,"viewProgress; customEffect",scroll-3d,"perspective(500px), rotateX (±25deg→0→∓25deg), translateZ (-350px→0→-350px), opacity (0.2→1→0.2), easing (linear)","list-item width/height/border-radius/margin (CSS vars), item-list padding (calc), scroll-view perspective, box-shadow",layout,Item Height,cssVar,--item-height,,200,800,20,512,px
Gallery-and-Carousel,DigitalJukebox.html,Digital Jukebox,Scroll-driven 3D totem rotation with info panel,"viewProgress; customEffect",scroll-3d,"perspective(500px), rotateX (±25deg→0→∓25deg), translateZ (-350px→0→-350px), opacity (0.2→1→0.2), easing (linear)","list-item width/height/border-radius/margin (CSS vars), item-list padding (calc), scroll-view perspective, box-shadow",layout,Item Spacing,cssVar,--item-gap,,0,100,2,32,px
Gallery-and-Carousel,DolphinAnimation.html,Dolphin Animation,Cursor-following particle burst animation,"pageVisible; customEffect",pointer-trail,"PARTICLE_LIFESPAN, BASE_PARTICLE_WIDTH, SIZE_VARIATION, PARTICLE_SPACING, HOP_HEIGHT, HOP_WIDTH","info-text font-size/color, particle-image box-shadow, IMAGE_SOURCES array",animation,Pop Duration,cssVar,--particle-lifespan,,30,180,5,80,
Gallery-and-Carousel,DolphinAnimation.html,Dolphin Animation,Cursor-following particle burst animation,"pageVisible; customEffect",pointer-trail,"PARTICLE_LIFESPAN, BASE_PARTICLE_WIDTH, SIZE_VARIATION, PARTICLE_SPACING, HOP_HEIGHT, HOP_WIDTH","info-text font-size/color, particle-image box-shadow, IMAGE_SOURCES array",animation,Density,cssVar,--density,,0.5,3,0.1,1,
Gallery-and-Carousel,DolphinAnimation.html,Dolphin Animation,Cursor-following particle burst animation,"pageVisible; customEffect",pointer-trail,"PARTICLE_LIFESPAN, BASE_PARTICLE_WIDTH, SIZE_VARIATION, PARTICLE_SPACING, HOP_HEIGHT, HOP_WIDTH","info-text font-size/color, particle-image box-shadow, IMAGE_SOURCES array",animation,Gap / Stagger,cssVar,--particle-spacing,,30,220,5,100,
Gallery-and-Carousel,DolphinAnimation.html,Dolphin Animation,Cursor-following particle burst animation,"pageVisible; customEffect",pointer-trail,"PARTICLE_LIFESPAN, BASE_PARTICLE_WIDTH, SIZE_VARIATION, PARTICLE_SPACING, HOP_HEIGHT, HOP_WIDTH","info-text font-size/color, particle-image box-shadow, IMAGE_SOURCES array",layout,Image Size,cssVar,--base-particle-width,,80,500,10,180,
Gallery-and-Carousel,DolphinAnimation.html,Dolphin Animation,Cursor-following particle burst animation,"pageVisible; customEffect",pointer-trail,"PARTICLE_LIFESPAN, BASE_PARTICLE_WIDTH, SIZE_VARIATION, PARTICLE_SPACING, HOP_HEIGHT, HOP_WIDTH","info-text font-size/color, particle-image box-shadow, IMAGE_SOURCES array",layout,Border Radius,cssVar,--particle-radius,,0,50,1,0,
Gallery-and-Carousel,EndlessParallax.html,Endless Parallax,2D parallax floating gallery with modal lightbox,"click; animationEnd",click-interaction,"modal opacity (0→1), modal-content scale (0.8→1), gallery blur (0→10px), duration, easing","NUM_TILES, BASE_IMAGE_SCALE, tile border-radius/box-shadow, modal max-width/max-height",animation,Animation Speed,cssVar,--drift-speed,,0.2,3,0.1,1,×
Gallery-and-Carousel,EndlessParallax.html,Endless Parallax,2D parallax floating gallery with modal lightbox,"click; animationEnd",click-interaction,"modal opacity (0→1), modal-content scale (0.8→1), gallery blur (0→10px), duration, easing","NUM_TILES, BASE_IMAGE_SCALE, tile border-radius/box-shadow, modal max-width/max-height",layout,Tile Border Radius,css,.gallery-tile,borderRadius,0,30,1,8,px
Gallery-and-Carousel,EndlessParallax.html,Endless Parallax,2D parallax floating gallery with modal lightbox,"click; animationEnd",click-interaction,"modal opacity (0→1), modal-content scale (0.8→1), gallery blur (0→10px), duration, easing","NUM_TILES, BASE_IMAGE_SCALE, tile border-radius/box-shadow, modal max-width/max-height",layout,Image Size,cssVar,--tile-scale,,0.3,2.5,0.1,1,×
Gallery-and-Carousel,EndlessParallax.html,Endless Parallax,2D parallax floating gallery with modal lightbox,"click; animationEnd",click-interaction,"modal opacity (0→1), modal-content scale (0.8→1), gallery blur (0→10px), duration, easing","NUM_TILES, BASE_IMAGE_SCALE, tile border-radius/box-shadow, modal max-width/max-height",layout,Image Density,cssVar,--num-tiles,,20,200,10,100,
